"","Sample","X","Y","study"
"1","MPS17_100",-0.176065529894415,0.138091879493145,"McCoy et al 2021"
"2","MPS17_101",-0.148655504542301,0.0906591402715428,"McCoy et al 2021"
"3","MPS17_102",-0.0730498675359037,-0.342681337367496,"McCoy et al 2021"
"4","MPS17_103",-0.210670693309995,0.000754256104140508,"McCoy et al 2021"
"5","MPS17_104",-0.172467648486355,-0.157858321388489,"McCoy et al 2021"
"6","MPS17_105",-0.180376487011186,0.197079322735432,"McCoy et al 2021"
"7","MPS17_106",-0.237648824652266,0.0587471116051724,"McCoy et al 2021"
"8","MPS17_107",-0.0441092909194491,-0.208582545219683,"McCoy et al 2021"
"9","MPS17_108",-0.0444937868805245,0.338462340709278,"McCoy et al 2021"
"10","MPS17_109",-0.0692783567195031,-0.317673168033329,"McCoy et al 2021"
"11","MPS17_110",-0.247033913440083,0.241058523454672,"McCoy et al 2021"
"12","MPS17_111",-0.176065529894415,0.138091879493145,"McCoy et al 2021"
"13","MPS17_112",-0.0730498675359044,-0.342681337367496,"McCoy et al 2021"
"14","MPS17_113",-0.229842043928837,-0.016981931426388,"McCoy et al 2021"
"15","MPS17_114",-0.0730498675359044,-0.342681337367496,"McCoy et al 2021"
"16","MPS17_115",-0.216265239810422,-0.0528714234938766,"McCoy et al 2021"
"17","MPS17_116",-0.176065529894415,0.138091879493145,"McCoy et al 2021"
"18","MPS17_117",-0.211165306522203,0.0157934541352256,"McCoy et al 2021"
"19","MPS17_118",-0.199693958766512,-0.0663849069623031,"McCoy et al 2021"
"20","MPS17_120",-0.162945838474571,-0.144951311826794,"McCoy et al 2021"
"21","MPS17_123",-0.102787268883711,-0.227201469393757,"McCoy et al 2021"
"22","MPS17_124",-0.115095664770825,0.0475834833412684,"McCoy et al 2021"
"23","MPS17_125",-0.168431076556647,0.0481339871021691,"McCoy et al 2021"
"24","MPS17_126",-0.178669764351819,-0.0504510311619073,"McCoy et al 2021"
"25","MPS17_127",-0.180452499665521,-0.0490001038520624,"McCoy et al 2021"
"26","MPS17_128",-0.169862810470858,-0.0976577225061721,"McCoy et al 2021"
"27","MPS17_129",-0.211165306522203,0.0157934541352256,"McCoy et al 2021"
"28","MPS17_131",-0.211165306522203,0.0157934541352257,"McCoy et al 2021"
"29","MPS17_134",-0.136635575526034,0.030412027033727,"McCoy et al 2021"
"30","MPS17_135",-0.0978064255033636,-0.0330084700027934,"McCoy et al 2021"
"31","MPS17_136",-0.229842043928837,-0.016981931426388,"McCoy et al 2021"
"32","MPS17_138",-0.25959774775022,0.22322095559056,"McCoy et al 2021"
"33","MPS17_139",-0.162945838474571,-0.144951311826794,"McCoy et al 2021"
"34","MPS17_141",-0.237648824652266,0.0587471116051724,"McCoy et al 2021"
"35","MPS17_142",-0.149939421135242,0.101487817899507,"McCoy et al 2021"
"36","MPS17_144",-0.107062135138571,-0.172117278398842,"McCoy et al 2021"
"37","MPS17_16",-0.0964029541566969,-0.131049157836573,"McCoy et al 2021"
"38","MPS17_35",0.00628074586645726,-0.402256917877415,"McCoy et al 2021"
"39","MPS17_39",0.131020737486811,-0.369332737924239,"McCoy et al 2021"
"40","MPS17_40",-0.0730498675359044,-0.342681337367496,"McCoy et al 2021"
"41","MPS17_41",0.00628074586645716,-0.402256917877415,"McCoy et al 2021"
"42","MPS17_42",-0.0541643897762124,-0.0299005117455243,"McCoy et al 2021"
"43","MPS17_43",-0.116800830049253,-0.191332580335249,"McCoy et al 2021"
"44","MPS17_44",-0.176065529894415,0.138091879493145,"McCoy et al 2021"
"45","MPS17_45",-0.18929615021325,-0.0634631989721089,"McCoy et al 2021"
"46","MPS17_46",-0.240579555062449,0.0336796084003497,"McCoy et al 2021"
"47","MPS17_47",-0.288928491713524,-0.0139071054159608,"McCoy et al 2021"
"48","MPS17_48",-0.0722281340706496,0.0281162930538171,"McCoy et al 2021"
"49","MPS17_51",-0.0730498675359044,-0.342681337367496,"McCoy et al 2021"
"50","MPS17_54",-0.0922467930975896,-0.0940227239068527,"McCoy et al 2021"
"51","MPS17_55",0.0712613769667522,-0.284018091953305,"McCoy et al 2021"
"52","MPS17_57",0.0303952090767583,-0.317208279041238,"McCoy et al 2021"
"53","MPS17_65",-0.172467648486355,-0.157858321388489,"McCoy et al 2021"
"54","MPS17_66",-0.0730498675359045,-0.342681337367496,"McCoy et al 2021"
"55","MPS17_67",-0.127041921549009,-0.242611912536523,"McCoy et al 2021"
"56","MPS17_68",-0.0609926453620962,-0.288967378469767,"McCoy et al 2021"
"57","MPS17_69",-0.162510469448949,-0.140537486515153,"McCoy et al 2021"
"58","MPS17_70",-0.101771201218427,-0.111094791958976,"McCoy et al 2021"
"59","MPS17_71",-0.0922467930975896,-0.0940227239068527,"McCoy et al 2021"
"60","MPS17_72",-0.127041921549009,-0.242611912536523,"McCoy et al 2021"
"61","MPS17_73",-0.127041921549009,-0.242611912536523,"McCoy et al 2021"
"62","MPS17_77",0.0763921110739563,-0.143538127267264,"McCoy et al 2021"
"63","MPS17_78",0.184350127092556,-0.173966427766184,"McCoy et al 2021"
"64","MPS17_80",0.0964766237236797,-0.06365288993205,"McCoy et al 2021"
"65","MPS17_81",-0.0959584050140938,-0.117656089775977,"McCoy et al 2021"
"66","MPS17_82",-0.0730498675359044,-0.342681337367496,"McCoy et al 2021"
"67","MPS17_83",-0.106179564048995,-0.175081625667603,"McCoy et al 2021"
"68","MPS17_84",-0.211165306522203,0.0157934541352256,"McCoy et al 2021"
"69","MPS17_85",-0.0504460439814579,-0.272394893239738,"McCoy et al 2021"
"70","MPS17_86",-0.180452499665521,-0.0490001038520624,"McCoy et al 2021"
